"Domain","URL","Redirect","Uses HTTPS","Enforces HTTPS","Strict Transport Security (HSTS)","Preloaded (recommended)"
"1ratio.nl","https://www.1ratio.nl","No","Yes","Yes","Yes",""
"1stroom.nl","https://www.1stroom.nl","No","Yes","Yes","No",""
"7-concrete-lessen-voor-samen-beslissen.zorginstituutnederland.nl","https://7-concrete-lessen-voor-samen-beslissen.zorginstituutnederland.nl","No","Yes","Yes","No",""
"a16rotterdam.nl","https://www.a16rotterdam.nl","No","Yes","Yes","No",""
"a27a12ringutrecht.nl","https://www.a27a12ringutrecht.nl","No","Yes","Yes","Yes",""
"a2samenwerking.nl","https://www.a2samenwerking.nl","No","Yes","Yes","Yes",""
"a4burgerveen-n14.nl","https://www.a4burgerveen-n14.nl","No","Yes","Yes","Yes",""
"a4haaglanden-n14.nl","https://www.a4haaglanden-n14.nl","No","Yes","Yes","Yes",""
"aaenhunze.nl","https://www.aaenhunze.nl","No","Yes","Yes","No",""
"aaenmaas.nl","https://www.aaenmaas.nl","No","Yes","Yes","No",""
"aalburg.nl","https://www.aalburg.nl","Yes","Yes","Yes","Yes",""
"aalsmeer.nl","https://www.aalsmeer.nl","No","Yes","Yes","No",""
"aalten.nl","https://www.aalten.nl","No","Yes","Yes","Yes",""
"aanbiedersmedicijnen.nl","https://www.aanbiedersmedicijnen.nl","No","Yes","Yes","Yes",""
"aandeslagmetdeomgevingswet.nl","https://aandeslagmetdeomgevingswet.nl","No","Yes","Yes","Yes",""
"aanpakjeugdwerkloosheid.nl","https://www.aanpakjeugdwerkloosheid.nl","No","Yes","Yes","Yes",""
"aansluiten.procesinfrastructuur.nl","https://aansluiten.procesinfrastructuur.nl","No","Yes","Yes","No",""
"aanvragen.nza.nl","https://aanvragen.nza.nl","No","Yes","Yes","Yes",""
"aardgasvrijewijken.nl","https://aardgasvrijewijken.nl","No","Yes","Yes","No",""
"abonneren.cbg-meb.nl","https://abonneren.cbg-meb.nl","No","Yes","Yes","Yes",""
"abonneren.rijksoverheid.nl","https://abonneren.rijksoverheid.nl","No","Yes","Yes","Yes",""
"abonneren.rivm.nl","https://abonneren.rivm.nl","No","Yes","Yes","Yes",""
"academie.belastingdienst.nl","https://academie.belastingdienst.nl","No","Yes","Yes","Yes",""
"academievoorhetonderwijstoezicht.nl","http://www.academievoorhetonderwijstoezicht.nl","No","Yes","No","Yes",""
"academy.cbs.nl","https://academy.cbs.nl","No","Yes","Yes","No",""
"achtkarspelen.nl","https://www.achtkarspelen.nl","No","Yes","Yes","Yes",""
"acm.nl","https://www.acm.nl","No","Yes","Yes","Yes",""
"acvz.org","https://acvz.org","No","Yes","Yes","No",""
